Precipitation(station36502)@(2366,2367]
Precipitation(station22150)@(72,75]
Precipitation(station48145)@(3059,3067]
Precipitation(station11347)@(852,858]
Precipitation(station17527)@(429,430]
Precipitation(station39347)@(21,28]
Precipitation(station8904)@(2786,2787]
Precipitation(station26685)@(1541,1545]
Precipitation(station37127)@(430,432]
Precipitation(station37175)@(1662,1664]
Precipitation(station7745)@(213,216]
Precipitation(station12667)@(2244,2255]
Precipitation(station24861)@(1483,1485]
Precipitation(station2269)@(1135,1141]
Precipitation(station51019)@(1144,1145]
Precipitation(station6753)@(1794,1802]
Precipitation(station6604)@(1954,1959]
Precipitation(station23883)@(2240,2241]
Precipitation(station51943)@(732,733]
Precipitation(station12024)@(406,408]
Precipitation(station31604)@(355,358]
Precipitation(station10793)@(781,783]
Precipitation(station26418)@(3064,3065]
Precipitation(station48199)@(3320,3324]
Precipitation(station49607)@(1095,1096]
Precipitation(station22091)@(439,440]
Precipitation(station7267)@(39,40]
Precipitation(station14801)@(2669,2670]
Precipitation(station25222)@(2806,2809]
Precipitation(station9793)@(1961,1962]
Precipitation(station42054)@(3029,3033]
Precipitation(station14448)@(2426,2428]
Precipitation(station3937)@(3270,3273]
Precipitation(station44456)@(168,169]
Precipitation(station51570)@(965,966]
Precipitation(station53857)@(2192,2194]
Precipitation(station29778)@(1868,1869]
Precipitation(station37564)@(754,757]
Precipitation(station19802)@(2847,2864]
Precipitation(station43368)@(2022,2023]
Precipitation(station40709)@(2404,2410]
Precipitation(station30178)@(1434,1437]
Precipitation(station27549)@(1350,1352]
TempAbove24(station25198)@(408,410]
TempAbove24(station43464)@(615,619]
TempAbove24(station8861)@(2808,2809]
TempAbove24(station47530)@(2831,2834]
TempAbove24(station9149)@(1339,1340]
TempAbove24(station48637)@(3394,3396]
TempAbove24(station31359)@(1097,1099]
TempAbove24(station5116)@(3068,3070]
TempAbove24(station52194)@(1596,1601]
TempAbove24(station23826)@(3567,3572]
TempAbove24(station43680)@(3572,3576]
TempAbove24(station7961)@(1278,1287]
TempAbove24(station8214)@(1961,1962]
NoPrecipitation(station55135)@(699,700]
NoPrecipitation(station12513)@(3373,3375]
NoPrecipitation(station44092)@(1965,1968]
NoPrecipitation(station4223)@(2573,2575]
NoPrecipitation(station48790)@(1897,1911]
NoPrecipitation(station3523)@(847,848]
NoPrecipitation(station8481)@(1232,1234]
NoPrecipitation(station27289)@(814,818]
NoPrecipitation(station37354)@(680,684]
NoPrecipitation(station54756)@(1133,1139]
NoPrecipitation(station8030)@(3570,3572]
NoPrecipitation(station36515)@(242,246]
NoPrecipitation(station18837)@(2475,2490]
NoPrecipitation(station49638)@(3246,3249]
NoPrecipitation(station39090)@(562,564]
NoPrecipitation(station28198)@(1250,1251]
NoPrecipitation(station29050)@(3371,3375]
NoPrecipitation(station37979)@(1927,1931]
NoPrecipitation(station12441)@(2730,2732]
NoPrecipitation(station35955)@(1772,1784]
NoPrecipitation(station581)@(1508,1510]
NoPrecipitation(station17196)@(2554,2556]
NoPrecipitation(station5057)@(146,154]
NoPrecipitation(station10210)@(3545,3547]
NoPrecipitation(station31560)@(3235,3239]
NoPrecipitation(station44815)@(1696,1702]
NoPrecipitation(station34474)@(500,502]
NoPrecipitation(station48588)@(3314,3316]
NoPrecipitation(station278)@(2026,2027]
NoPrecipitation(station43447)@(1808,1814]
NoPrecipitation(station40235)@(1899,1903]
NoPrecipitation(station16591)@(3320,3328]
NoPrecipitation(station6610)@(1290,1292]
NoPrecipitation(station32684)@(1904,1906]
NoPrecipitation(station28815)@(2520,2522]
NoPrecipitation(station5445)@(468,472]
NoPrecipitation(station11052)@(2533,2534]
NoPrecipitation(station21534)@(1130,1137]
NoPrecipitation(station11459)@(3374,3375]
NoPrecipitation(station14860)@(2064,2065]
NoPrecipitation(station36750)@(735,750]
NoPrecipitation(station34993)@(1236,1238]
NoPrecipitation(station46170)@(1469,1474]
TempAbove41(station49876)@(1666,1668]
